id,product_name,image_name,Description,category,color_name,color_hex,net_weight_grams,top_pick,whats_new
25,,,,EYES,#3,dcdf8c+ffc39b+c46f36+3e2415,3g,,
26,Eyeshadow Pop,eyeShadowPop.jpg,"With these easy-to-carry single eyeshadows, a good look is always at your fingertips even when you’re carrying a small bag. These pops come in 13 different standout colors that can also blend well with other shades. With the Mix and Match Palette, you can even develop your own color combinations to suit your mood and style. (The Mix and Match Palette is sold separately.)",EYES,#1,6c5551,1.6g,,
26,,,,EYES,#2,d0b6a6,1.6g,,
26,,,,EYES,#3,e5e8b1,1.6g,,
26,,,,EYES,#4,3c3f42,1.6g,,
26,,,,EYES,#5,e19a92,1.6g,,
26,,,,EYES,#6,dfb183,1.6g,,
26,,,,EYES,#7,835654,1.6g,,
26,,,,EYES,#8,5a280f,1.6g,,
26,,,,EYES,#9,f06b59,1.6g,,
26,,,,EYES,#10,e7e7cb,1.6g,,
26,,,,EYES,#11,484753,1.6g,,
26,,,,EYES,#12,d0bb8c,1.6g,,
26,,,,EYES,#13,685a58,1.6g,,
27,Liquid Eyeliner Water-Resistant,liquidEyelinerWaterResistant.jpg,"Water-resistant, smudge-proof, tear-proof! This eyeliner stays put through sweat and tears. It also lasts the test of time on normal to oily skin, so this is your go-to if you need to look good after a tearjerker or a long day. The fine-tipped brush lets you create all kinds of looks—from light and subtle to dark and dramatic. The Liquid Eyeliner comes in luscious deep brown and intense black colors.",EYES,Black,000000,9mL,,
27,,,,EYES,Brown,4a2310,9mL,,
28,Pretty Lash,prettyLash.jpg,"This mascara lengthens and curls lashes for a bright-eyed look. It’s gentle to eyes and is lightweight—ideal for an effortless, low-maintenance, and natural pretty.",EYES,Black,000000,4g,,
29,Twist Eye Pencil,twistEyePencil.jpg,"You never have to worry about not having a sharpener on you again with this eye pencil. It comes in different eye-catching but soft shades and even doubles as an eyeshadow. Perfect for quick, convenient makeup magic on the road.",EYES,Aqua,67cbdc,1.1g,,
29,,,,EYES,Gold,f69861,1.1g,,
29,,,,EYES,Grass,116f06,1.1g,,
29,,,,EYES,Lagoon,006fb7,1.1g,,
29,,,,EYES,Lilac,b797be,1.1g,,
29,,,,EYES,Moss,1c2d1a,1.1g,,2
29,,,,EYES,Nimbus,272262,1.1g,,2
29,,,,EYES,Pearl,fff8ed,1.1g,,
29,,,,EYES,Sable,6b7379,1.1g,,
29,,,,EYES,Smoke,3c4242,1.1g,,
29,,,,EYES,Azure,0f335f,1.1g,,2
30,Water-Resistant Mascara with Lash Conditioner,waterResistantMascara.jpg,"Eyelashes need conditioning as much as our crowning glory does to soften and, in some cases, even thicken and lengthen them. This water-resistant mascara gives you the conditioning you need while giving your eyes the usual oomph. The clear shade even promotes that “no mascara” look because it’s not obvious that you’ve got product on, and doubles as an eyebrow gel to help in grooming and to prolong eyebrow makeup. This product also comes in black and brown.",EYES,Black,000000,8g,,
30,,,,EYES,Brown,3a1e07,8g,,
30,,,,EYES,Clear,CLEAR,8g,,
